_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
421,420,Jumlah Korban yang Meninggal Karena Perkelahian Massal,7504,BONE BOLANGO,2006,,,,,
422,421,Jumlah Korban yang Meninggal Karena Perkelahian Massal,7571,KOTA GORONTALO,2006,,,,,
423,422,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8101,MALUKU TENGGARA BARAT,2006,,,,1,
424,423,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8102,MALUKU TENGGARA,2006,,,,2,
425,424,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8103,MALUKU TENGAH,2006,,,,6,
426,425,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8104,BURU,2006,,,,1,
427,426,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8105,KEPULAUAN ARU,2006,,,,1,
428,427,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8106,SERAM BAGIAN BARAT,2006,,,,2,
429,428,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8107,SERAM BAGIAN TIMUR,2006,,,,,
430,429,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8171,KOTA AMBON,2006,,,,7,
431,430,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8201,HALMAHERA BARAT,2006,,,,1,
432,431,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8202,HALMAHERA TENGAH,2006,,,,,
433,432,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8203,KEPULAUAN SULA,2006,,,,1,
434,433,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8204,HALMAHERA SELATAN,2006,,,,,
435,434,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8205,HALMAHERA UTARA,2006,,,,,
436,435,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8206,HALMAHERA TIMUR,2006,,,,,
437,436,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8271,KOTA TERNATE,2006,,,,,
438,437,Jumlah Korban yang Meninggal Karena Perkelahian Massal,8272,KOTA TIDORE KEPULAUAN,2006,,,,,
439,438,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9101,FAKFAK,2006,,,,1,
440,439,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9102,KAIMANA,2006,,,,,
441,440,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9103,TELUK WONDAMA,2006,,,,,
442,441,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9104,TELUK BINTUNI,2006,,,,,
443,442,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9105,MANOKWARI,2006,,,,,
444,443,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9106,SORONG SELATAN,2006,,,,,
445,444,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9107,SORONG,2006,,,,,
446,445,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9108,RAJA AMPAT,2006,,,,,
447,446,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9171,KOTA SORONG,2006,,,,3,
448,447,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9401,MERAUKE,2006,,,,4,
449,448,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9402,JAYAWIJAYA,2006,,,,17,
450,449,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9403,JAYAPURA,2006,,,,1,
451,450,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9404,NABIRE,2006,,,,,
452,451,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9408,KEPULAUAN YAPEN,2006,,,,2,
453,452,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9409,BIAK NUMFOR,2006,,,,,
454,453,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9410,PANIAI,2006,,,,8,
455,454,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9411,PUNCAK JAYA,2006,,,,9,
456,455,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9412,MIMIKA,2006,,,,4,
457,456,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9413,BOVEN DIGOEL,2006,,,,,
458,457,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9414,MAPPI,2006,,,,,
459,458,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9415,ASMAT,2006,,,,,
460,459,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9416,YAHUKIMO,2006,,,,4,
461,460,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9417,PEGUNUNGAN BINTANG,2006,,,,,
462,461,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9418,TOLIKARA,2006,,,,,
463,462,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9419,SARMI,2006,,,,4,
464,463,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9420,KEEROM,2006,,,,1,
465,464,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9426,WAROPEN,2006,,,,,
466,465,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9427,SUPIORI,2006,,,,,
467,466,Jumlah Korban yang Meninggal Karena Perkelahian Massal,9471,KOTA JAYAPURA,2006,,,,,
468,467,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1101010,TEUPAH SELATAN,2006,,,,,
469,468,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1101020,SIMEULUE TIMUR,2006,,,,4,
470,469,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1101021,TEUPAH BARAT,2006,,,,,
471,470,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1101030,SIMEULUE TENGAH,2006,,,,,
472,471,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1101031,TELUK DALAM,2006,,,,,
473,472,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1101040,SALANG,2006,,,,,
474,473,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1101050,SIMEULUE BARAT,2006,,,,3,
475,474,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1101051,ALAFAN,2006,,,,,
476,475,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102010,PULAU BANYAK,2006,,,,,
477,476,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102020,SINGKIL,2006,,,,,
478,477,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102021,SINGKIL UTARA,2006,,,,,
479,478,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102022,KUALA BARU,2006,,,,,
480,479,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102030,SIMPANG KANAN,2006,,,,,
481,480,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102031,GUNUNG MERIAH,2006,,,,,
482,481,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102032,DANAU PARIS,2006,,,,,
483,482,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102033,SURO MAKMUR,2006,,,,,
484,483,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102042,SINGKOHOR,2006,,,,,
485,484,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1102043,KOTA BAHARU,2006,,,,,
486,485,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103010,TRUMON,2006,,,,,
487,486,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103011,TRUMON TIMUR,2006,,,,,
488,487,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103020,BAKONGAN,2006,,,,,
489,488,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103021,BAKONGAN TIMUR,2006,,,,,
490,489,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103030,KLUET SELATAN,2006,,,,,
491,490,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103031,KLUET TIMUR,2006,,,,,
492,491,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103040,KLUET UTARA,2006,,,,7,
493,492,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103041,PASIE RAJA,2006,,,,,
494,493,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103042,KLUET TENGAH,2006,,,,,
495,494,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103050,TAPAK TUAN,2006,,,,,
496,495,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103060,SAMA DUA,2006,,,,,
497,496,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103070,SAWANG,2006,,,,,
498,497,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103080,MEUKEK,2006,,,,,
499,498,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103090,LABUHAN HAJI,2006,,,,,
500,499,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103091,LABUHAN HAJI TIMUR,2006,,,,,
501,500,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1103092,LABUHAN HAJI BARAT,2006,,,,9,
502,501,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104010,LAWE ALAS,2006,,,,,
503,502,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104011,BABUL RAHMAD,2006,,,,,
504,503,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104020,LAWE SIGALA-GALA,2006,,,,,
505,504,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104021,BABUL MAKMUR,2006,,,,,
506,505,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104022,SEMADAM,2006,,,,,
507,506,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104030,BAMBEL,2006,,,,,
508,507,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104031,BUKIT TUSAM,2006,,,,,
509,508,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104040,BABUSSALAM,2006,,,,,
510,509,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104041,LAWE BULAN,2006,,,,,
511,510,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104050,BADAR,2006,,,,,
512,511,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1104051,DARUL HASANAH,2006,,,,,
513,512,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105080,SERBA JADI,2006,,,,,
514,513,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105081,SIMPANG JERNIH,2006,,,,3,
515,514,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105090,BIREM BAYEUN,2006,,,,,
516,515,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105100,RANTAU SELAMAT,2006,,,,,
517,516,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105101,SUNGAI RAYA,2006,,,,,
518,517,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105110,PEUREULAK,2006,,,,,
519,518,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105111,PEUREULAK TIMUR,2006,,,,5,
520,519,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105112,PEUREULAK BARAT,2006,,,,,
521,520,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105120,RANTO PEUREULAK,2006,,,,,
522,521,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105130,IDI RAYEUK,2006,,,,,
523,522,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105131,PEUDAWA,2006,,,,,
524,523,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105132,BANDA ALAM,2006,,,,,
525,524,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105133,IDI TUNONG,2006,,,,,
526,525,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105134,DARUL IHSAN,2006,,,,4,
527,526,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105140,DARUL AMAN,2006,,,,,
528,527,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105150,NURUSSALAM,2006,,,,,
529,528,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105160,JULOK,2006,,,,,
530,529,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105161,INDRA MAKMUR,2006,,,,,
531,530,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105170,PANTE BIDARI,2006,,,,3,
532,531,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105180,SIMPANG ULIM,2006,,,,,
533,532,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1105181,MADAT,2006,,,,,
534,533,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106010,LINGE,2006,,,,,
535,534,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106020,BINTANG,2006,,,,,
536,535,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106031,LUT TAWAR,2006,,,,,
537,536,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106032,KEBAYAKAN,2006,,,,,
538,537,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106040,PEGASING,2006,,,,,
539,538,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106050,BEBESEN,2006,,,,,
540,539,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106051,KUTE PANANG,2006,,,,,
541,540,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106060,SILIH NARA,2006,,,,34,
542,541,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106061,KETOL,2006,,,,4,
543,542,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1106062,CELALA,2006,,,,,
544,543,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107050,JOHAN PAHLAWAN,2006,,,,,
545,544,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107060,SAMATIGA,2006,,,,4,
546,545,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107061,BUBON,2006,,,,,
547,546,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107062,ARONGAN LAMBALEK,2006,,,,34,
548,547,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107070,WOYLA,2006,,,,,
549,548,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107071,WOYLA BARAT,2006,,,,,
550,549,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107072,WOYLA TIMUR,2006,,,,,
551,550,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107080,KAWAY XVI,2006,,,,3,
552,551,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107081,MEUREUBO,2006,,,,,
553,552,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107082,PANTAI CEUREMEN,2006,,,,,
554,553,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1107090,SUNGAI MAS,2006,,,,,
555,554,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108010,LHOONG,2006,,,,,
556,555,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108020,LHONGA,2006,,,,3,
557,556,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108021,LEUPUNG,2006,,,,,
558,557,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108030,INDRAPURI,2006,,,,,
559,558,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108031,KUTA COT GLIE,2006,,,,5,
560,559,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108040,SEULIMEUM,2006,,,,,
561,560,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108041,KOTA JANTHO,2006,,,,,
562,561,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108042,LEMBAH SEULAWAH,2006,,,,,
563,562,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108050,MESJID RAYA,2006,,,,,
564,563,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108060,DARUSSALAM,2006,,,,6,
565,564,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108061,BAITUSSALAM,2006,,,,,
566,565,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108070,KUTA BARO,2006,,,,,
567,566,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108080,MONTASIK,2006,,,,,
568,567,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108090,INGIN JAYA,2006,,,,8,
569,568,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108091,KRUENG BARONA JAYA,2006,,,,,
570,569,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108100,SUKA MAKMUR,2006,,,,,
571,570,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108101,KUTA MALAKA,2006,,,,,
572,571,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108102,SIMPANG TIGA,2006,,,,,
573,572,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108110,DARUL IMARAH,2006,,,,,
574,573,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108111,DARUL KAMAL,2006,,,,,
575,574,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108120,PEUKAN BADA,2006,,,,9,
576,575,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1108130,PULO ACEH,2006,,,,,
577,576,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109010,GEUMPANG,2006,,,,,
578,577,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1109011,MANE,2006,,,,,
